"Table 4--World and U.S. wheat production, exports, and ending stocks",,,,,,,,,
"Marketing year
1/",World production million bushels,World exports million bushels,World ending stocks million bushels,U.S. production million bushels,U.S. share percent,"U.S.
exports million bushels",U.S. share percent,"U.S.
ending stocks million bushels",U.S. share percent
1960,"8,577.856","1,611.469","3,044.180",--,--,--,--,--,--
1961,"8,085.417","1,725.080","2,566.548",--,--,--,--,--,--
1962,"9,067.613","1,698.551","2,786.863",--,--,--,--,--,--
1963,"8,465.273","2,140.872","2,584.075",--,--,--,--,--,--
1964,"9,733.813","2,016.091","2,883.610",--,--,--,--,--,--
1965,"9,528.085","2,243.791","2,231.592",--,--,--,--,--,--
1966,"11,047.033","2,145.980","3,219.557",--,--,--,--,--,--
1967,"10,727.253","1,967.662","3,588.538",--,--,--,--,--,--
1968,"11,896.658","1,847.033","4,457.416",--,--,--,--,--,--
1969,"11,170.859","2,050.924","3,804.554",--,--,--,--,--,--
1970,"11,263.086","2,075.248","2,958.934",--,--,--,--,--,--
1971,"12,644.209","2,059.852","3,279.156",--,--,--,--,--,--
1972,"12,400.488","2,381.029","2,753.133",--,--,--,--,--,--
1973,"13,450.733","2,420.198","3,037.492",--,--,--,--,--,--
1974,"13,052.321","2,264.662","2,989.211",--,--,--,--,--,--
1975,"12,957.559","2,457.824","3,186.378","2,126.927",16.41,"1,172.881",47.72,665.629,20.89
1976,"15,224.683","2,345.461","4,679.385","2,148.780",14.11,949.532,40.48,"1,113.249",23.79
1977,"13,883.390","2,458.485","4,012.670","2,045.527",14.73,"1,123.867",45.71,"1,177.808",29.35
1978,"16,128.358","2,820.557","4,954.816","1,775.524",11.01,"1,194.129",42.34,924.099,18.65
1979,"15,342.042","3,145.372","4,425.890","2,134.060",13.91,"1,375.175",43.72,901.999,20.38
1980,"16,015.371","3,311.564","4,138.885","2,380.934",14.87,"1,513.834",45.71,989.113,23.90
1981,"16,350.767","3,688.187","4,138.518","2,785.357",17.04,"1,770.730",48.01,"1,159.364",28.01
1982,"17,370.185","3,709.241","4,781.496","2,764.967",15.92,"1,508.632",40.67,"1,515.063",31.69
1983,"17,800.527","3,740.289","5,356.498","2,419.824",13.59,"1,426.378",38.14,"1,398.646",26.11
1984,"18,699.168","3,808.339","6,187.824","2,594.777",13.88,"1,421.442",37.32,"1,425.240",23.03
1985,"18,180.861","3,029.592","6,556.364","2,424.115",13.33,909.131,30.01,"1,904.981",29.06
1986,"19,255.284","3,280.258","7,013.713","2,090.570",10.86,998.510,30.44,"1,820.904",25.96
1987,"18,323.133","4,099.312","5,834.497","2,107.685",11.50,"1,587.877",38.74,"1,260.844",21.61
1988,"18,197.837","3,863.638","4,951.215","1,812.201",9.96,"1,414.854",36.62,701.626,14.17
1989,"19,588.439","3,799.998","5,018.603","2,036.618",10.40,"1,231.958",32.42,536.455,10.69
1990,"21,634.623","3,815.577","6,278.912","2,729.778",12.62,"1,069.452",28.03,868.134,13.83
1991,"19,967.892","4,039.897","5,926.173","1,980.139",9.92,"1,282.305",31.74,475.021,8.02
1992,"20,674.510","4,043.241","6,493.753","2,466.798",11.93,"1,353.580",33.48,530.652,8.17
1993,"20,523.383","3,810.947","6,711.716","2,396.440",11.68,"1,227.761",32.22,568.484,8.47
1994,"19,221.406","3,608.783","6,023.066","2,320.981",12.07,"1,188.277",32.93,506.585,8.41
1995,"19,749.671","3,644.866","5,724.156","2,182.708",11.05,"1,241.143",34.05,376.020,6.57
1996,"21,358.604","3,929.483","6,040.262","2,277.388",10.66,"1,001.522",25.49,443.607,7.34
1997,"22,420.130","3,836.043","7,272.131","2,481.466",11.07,"1,040.391",27.12,722.478,9.93
1998,"21,696.977","3,722.836","7,690.238","2,547.321",11.74,"1,045.743",28.09,945.918,12.30
1999,"21,582.961","4,168.023","7,682.081","2,295.560",10.64,"1,086.499",26.07,949.748,12.36
2000,"21,414.712","3,718.280","7,573.687","2,228.160",10.40,"1,062.041",28.56,876.182,11.57
2001,"21,450.647","3,886.860","7,480.174","1,947.453",9.08,962.311,24.76,777.112,10.39
2002,"20,946.046","3,870.619","6,240.001","1,605.878",7.67,850.211,21.97,491.416,7.88
2003,"20,432.736","3,987.391","5,034.256","2,344.415",11.47,"1,158.324",29.05,546.439,10.85
2004,"23,040.548","4,081.528","5,795.879","2,156.790",9.36,"1,065.911",26.12,540.100,9.32
2005,"22,748.215","4,313.491","5,683.076","2,103.325",9.25,"1,002.781",23.25,571.190,10.05
2006,"21,929.895","4,099.092","4,952.244","1,808.416",8.25,915.721,22.34,456.153,9.21
2007,"22,476.495","4,276.600","4,747.875","2,051.088",9.13,"1,262.612",29.52,305.818,6.44
2008,"25,142.324","5,295.540","6,256.903","2,511.896",9.99,"1,015.415",19.17,656.505,10.49
2009,"25,262.440","5,025.217","7,487.817","2,208.918",8.74,879.297,17.50,975.637,13.03
2010,"23,894.435","4,888.383","7,334.669","2,163.023",9.05,"1,291.446",26.42,862.998,11.77
2011,"25,674.410","5,792.425","7,353.188","1,993.111",7.76,"1,051.091",18.15,742.620,10.10
2012,"24,280.611","5,002.583","6,636.281","2,252.307",9.28,"1,012.066",20.23,717.889,10.82
2013,"26,386.834","6,097.068","7,378.063","2,134.979",8.09,"1,176.223",19.29,590.283,8.00
2014,"26,900.658","6,035.265","8,296.913","2,026.310",7.53,864.336,14.32,752.394,9.07
2015,"27,154.924","6,355.633","9,114.130","2,061.939",7.59,777.793,12.24,975.603,10.70
2016,"27,824.983","6,862.917","9,846.800","2,308.663",8.30,"1,050.879",15.31,"1,180.602",11.99
2017,"27,937.051","6,814.084","10,566.168","1,740.910",6.23,906.022,13.30,"1,098.889",10.40
2018,"26,816.405","6,474.572","10,436.536","1,885.361",7.03,937.060,14.47,"1,079.761",10.35
2019,"27,900.160","7,148.783","10,936.545","1,932.017",6.92,969.038,13.56,"1,028.284",9.40
2020,"28,395.025","7,475.618","10,429.996","1,819.673",6.41,993.857,13.29,845.151,8.10
2021,"28,662.041","7,450.412","10,021.884","1,646.254",5.74,795.729,10.68,674.431,6.73
2022,"28,997.181","8,089.899","9,961.220","1,649.713",5.69,758.661,9.38,569.568,5.72
2023,"28,906.313","7,794.517","9,510.227","1,811.977",6.27,710.000,9.11,672.545,7.07
1/ Aggregated based on local marketing years. Latest data may be preliminary or projected.,,,,,,,,,
"Source: USDA, Foreign Agricultural Service, Production, Supply and Distribution Database and ",,,,,,,,,
"USDA, World Agricultural Outlook Board, World Agricultural Supply and Demand Estimates.",,,,,,,,,
Note: -- = no data.,,,,,,,,,
Date run: 3/8/2024 1:25:58 PM,,,,,,,,,